t,clock,sys_cpu,sys_ram_pct,sys_ram_used_mb,backend_cpu,backend_ram_mb,go2rtc_cpu,go2rtc_ram_mb,go2rtc_procs,ffmpeg_procs,go2rtc_streams_live,go2rtc_consumers,ai_active,ai_frames_recv,ai_frames_proc,ai_infer_ms_avg,ai_src_alive,ws_clients,exec_active,exec_submitted,exec_completed,recordings_active,threads
0.0,16:15:19,0.0,70.5,11892,0.0,253,0.0,0,0,0,0,0,0,0,0,0.0,0,0,8,0,0,0,7
2.1,16:15:21,42.1,71.4,12037,34.3,305,0.0,0,0,2,0,0,0,0,0,0.0,0,0,20,0,0,0,20
4.1,16:15:23,36.9,72.2,12173,73.0,357,0.0,0,0,2,0,0,0,0,0,0.0,0,0,20,0,0,0,20
6.1,16:15:25,34.0,72.7,12270,42.0,401,0.0,16,1,2,7,0,0,0,0,0.0,0,0,20,0,0,0,20
8.1,16:15:27,42.4,73.2,12344,234.8,493,0.0,16,1,2,7,0,0,0,0,0.0,0,0,19,0,0,0,19
10.1,16:15:29,37.1,73.3,12370,80.9,508,0.0,16,1,2,7,0,0,0,0,0.0,0,0,20,0,0,1,20
12.2,16:15:31,47.9,73.4,12374,227.9,543,1.5,55,3,4,7,1,1,0,0,0.0,0,0,21,0,0,1,21
14.2,16:15:33,34.7,76.0,12810,6.9,635,56.2,385,3,8,7,3,1,0,0,0.0,0,0,20,0,0,1,20
16.3,16:15:35,38.0,76.9,12964,33.7,793,23.7,390,3,8,7,3,1,10,0,0.0,1,0,20,0,0,1,20
18.3,16:15:37,31.2,77.1,13007,56.5,833,13.1,390,3,8,7,4,1,22,0,0.0,1,0,22,9,9,1,22
20.3,16:15:39,35.3,77.0,12992,140.6,832,17.7,387,3,8,7,4,1,34,0,0.0,1,0,22,45,45,1,22
22.4,16:15:41,43.4,77.0,12990,197.6,833,25.5,387,3,8,7,4,1,46,0,0.0,1,0,22,75,75,1,22
24.4,16:15:43,38.8,76.9,12966,142.1,833,13.9,387,3,8,7,4,1,56,0,0.0,1,0,28,108,108,1,28
26.4,16:15:45,38.6,77.0,12987,145.1,830,22.4,462,7,12,7,6,1,68,0,0.0,1,0,22,143,143,1,22
28.4,16:15:48,44.7,80.6,13591,117.7,834,135.1,1012,7,12,7,6,1,80,0,0.0,1,0,22,166,166,1,22
30.7,16:15:50,37.6,82.2,13856,65.4,835,138.3,752,5,10,7,7,1,91,0,0.0,1,0,22,169,169,1,22
33.0,16:15:52,35.5,80.2,13526,71.9,834,72.0,752,5,10,7,6,1,102,0,0.0,1,0,22,173,173,1,22
35.1,16:15:54,34.1,80.1,13510,80.0,834,85.1,752,5,10,7,6,1,113,0,0.0,1,0,22,179,179,1,22
37.3,16:15:56,35.7,80.0,13501,87.0,835,90.7,752,5,10,7,6,1,125,0,0.0,1,0,22,186,186,1,22
39.4,16:15:58,37.2,79.9,13483,105.6,834,81.2,752,5,10,7,6,1,136,0,0.0,1,0,22,194,194,1,22
41.5,16:16:01,34.6,80.0,13485,106.8,833,77.4,753,5,10,7,6,1,148,0,0.0,1,0,22,202,202,1,22
43.5,16:16:03,38.4,80.0,13487,107.1,835,92.2,753,5,10,7,6,1,160,0,0.0,1,0,22,210,210,1,22
45.6,16:16:05,36.0,80.4,13559,91.4,833,82.0,753,5,10,7,6,1,172,0,0.0,1,0,22,217,217,1,22
47.8,16:16:07,39.3,80.0,13495,108.6,835,72.0,753,5,10,7,6,1,183,0,0.0,1,0,22,233,233,1,22
49.8,16:16:09,43.9,80.1,13509,182.3,834,54.9,753,5,10,7,6,1,195,0,0.0,1,0,22,269,269,1,22
51.9,16:16:11,38.2,80.1,13504,129.7,1182,43.7,389,3,9,7,6,1,206,0,0.0,1,0,22,283,283,1,22
54.0,16:16:13,37.5,78.1,13180,74.6,834,53.0,466,7,12,7,6,1,218,0,0.0,1,0,22,289,289,1,22
56.1,16:16:15,37.7,80.9,13642,106.3,835,147.3,948,7,12,7,6,1,230,0,0.0,1,0,22,297,297,1,22
58.2,16:16:17,38.4,82.7,13950,86.7,834,46.9,390,3,8,7,6,1,242,0,0.0,1,0,22,304,304,1,22
60.4,16:16:19,35.6,77.3,13036,103.8,835,44.7,389,3,8,7,4,1,254,0,0.0,1,0,22,312,312,1,22
62.4,16:16:22,36.7,77.3,13032,96.0,833,46.1,389,3,8,7,4,1,266,0,0.0,1,0,22,320,320,1,22
64.5,16:16:24,34.7,77.3,13043,118.1,835,40.6,389,3,8,7,4,1,278,0,0.0,1,0,22,328,328,1,22
66.6,16:16:26,36.5,77.3,13033,101.8,835,47.1,389,3,8,7,4,1,289,0,0.0,1,0,22,335,335,1,22
68.6,16:16:28,40.0,77.4,13054,146.0,834,19.3,389,3,8,7,4,1,301,0,0.0,1,0,22,368,368,1,22
70.6,16:16:30,40.4,77.3,13044,176.1,835,25.5,389,3,8,7,4,1,312,0,0.0,1,0,22,405,405,1,22
72.7,16:16:32,41.8,77.3,13042,163.8,835,17.0,389,3,8,7,4,1,323,0,0.0,1,0,22,442,442,1,22
74.7,16:16:34,40.5,77.2,13025,131.1,835,42.2,389,3,8,7,4,1,334,0,0.0,1,0,22,467,467,1,22
76.8,16:16:36,41.7,77.2,13024,96.0,834,43.2,389,3,8,7,4,1,347,0,0.0,1,0,22,476,476,1,22
78.9,16:16:38,39.3,77.2,13021,101.2,835,44.2,389,3,8,7,4,1,359,0,0.0,1,0,22,484,484,1,22
81.0,16:16:40,34.4,77.2,13014,106.1,835,40.8,390,3,8,7,4,1,370,0,0.0,1,0,22,492,492,1,22
83.1,16:16:42,34.4,77.1,13010,123.1,835,34.5,390,3,8,7,4,1,381,0,0.0,1,0,22,501,501,1,22
85.2,16:16:44,33.9,77.1,13011,102.5,833,41.1,390,3,8,7,4,1,392,0,0.0,1,0,22,509,509,1,22
87.3,16:16:46,35.4,77.1,13009,114.3,835,36.1,390,3,8,7,4,1,404,0,0.0,1,0,22,518,518,1,22
