t,clock,sys_cpu,sys_ram_pct,sys_ram_used_mb,backend_cpu,backend_ram_mb,go2rtc_cpu,go2rtc_ram_mb,go2rtc_procs,ffmpeg_procs,go2rtc_streams_live,go2rtc_consumers,ai_active,ai_frames_recv,ai_frames_proc,ai_infer_ms_avg,ai_src_alive,ws_clients,exec_active,exec_submitted,exec_completed,recordings_active,threads
0.0,00:16:05,0.0,72.3,12187,0.0,267,0.0,0,0,2,0,0,0,0,0,0.0,0,0,10,0,0,0,10
2.0,00:16:07,37.1,72.7,12257,34.5,332,0.0,0,0,4,0,0,0,0,0,0.0,0,0,17,0,0,0,17
4.1,00:16:09,37.6,72.9,12299,86.6,390,0.0,0,0,4,0,0,0,0,0,0.0,0,0,17,0,0,0,17
6.1,00:16:11,35.5,73.1,12331,46.2,425,0.0,16,1,4,7,0,0,0,0,0.0,0,0,17,0,0,0,17
8.1,00:16:13,51.5,73.7,12431,295.3,517,0.0,16,1,4,7,0,0,0,0,0.0,0,0,16,0,0,0,16
10.2,00:16:15,36.8,73.6,12414,2.3,551,3.1,17,1,4,7,0,0,0,0,0.0,0,0,17,0,0,1,17
12.2,00:16:17,49.2,73.9,12462,226.1,601,2.3,53,3,10,7,1,1,0,0,0.0,0,0,17,0,0,1,17
14.3,00:16:19,37.6,76.2,12855,23.1,616,70.9,386,3,10,7,3,1,0,0,0.0,0,0,18,0,0,1,18
16.3,00:16:21,37.1,76.4,12881,20.0,617,43.0,391,3,10,7,3,1,8,0,0.0,1,0,17,0,0,1,17
18.5,00:16:23,36.6,76.2,12854,35.5,617,55.6,465,7,14,7,3,1,17,0,0.0,1,0,17,0,0,1,17
20.6,00:16:25,36.5,79.4,13393,7.1,617,118.4,905,7,14,7,5,1,25,0,0.0,1,0,17,0,0,1,17
22.8,00:16:27,35.6,79.7,13441,10.8,618,100.5,939,7,14,7,5,1,34,0,0.0,1,0,17,0,0,1,17
25.0,00:16:30,34.8,80.9,13640,7.5,618,36.9,389,3,10,7,5,1,42,0,0.0,1,0,17,0,0,1,17
27.5,00:16:32,33.8,76.9,12969,8.6,618,38.9,389,3,10,7,4,1,51,0,0.0,1,0,17,0,0,1,17
29.7,00:16:34,34.7,76.9,12967,4.5,619,44.1,389,3,10,7,3,1,59,0,0.0,1,0,17,0,0,1,17
31.8,00:16:36,32.0,76.9,12976,13.0,618,44.8,389,3,10,7,3,1,67,0,0.0,1,0,17,0,0,1,17
33.8,00:16:38,32.4,77.0,12988,10.7,619,52.2,389,3,10,7,3,1,75,0,0.0,1,0,17,0,0,1,17
35.9,00:16:41,35.9,77.0,12985,10.4,619,42.5,389,3,10,7,3,1,83,0,0.0,1,0,17,0,0,1,17
38.0,00:16:43,36.2,77.1,13001,9.8,619,39.4,389,3,10,7,3,1,92,0,0.0,1,0,17,0,0,1,17
40.0,00:16:45,35.5,77.0,12983,8.1,619,43.2,389,3,10,7,3,1,100,0,0.0,1,0,17,0,0,1,17
42.1,00:16:47,36.1,76.9,12968,10.5,618,48.2,389,3,10,7,3,1,108,0,0.0,1,0,17,0,0,1,17
44.4,00:16:49,36.6,76.8,12947,9.1,619,41.4,389,3,10,7,3,1,117,0,0.0,1,0,17,0,0,1,17
46.4,00:16:51,36.4,76.8,12959,12.7,619,38.9,389,3,10,7,3,1,125,0,0.0,1,0,17,0,0,1,17
48.5,00:16:53,34.7,76.8,12958,13.2,619,39.4,390,3,10,7,3,1,133,0,0.0,1,0,19,0,0,1,19
50.7,00:16:55,37.5,76.8,12953,12.9,619,47.0,390,3,10,7,3,1,141,0,0.0,1,0,17,0,0,1,17
52.7,00:16:57,33.6,76.8,12956,10.6,619,57.8,390,3,10,7,3,1,149,0,0.0,1,0,17,0,0,1,17
