t,clock,sys_cpu,sys_ram_pct,sys_ram_used_mb,backend_cpu,backend_ram_mb,go2rtc_cpu,go2rtc_ram_mb,go2rtc_procs,ffmpeg_procs,go2rtc_streams_live,go2rtc_consumers,ai_active,ai_frames_recv,ai_frames_proc,ai_infer_ms_avg,ai_src_alive,ws_clients,exec_active,exec_submitted,exec_completed,recordings_active,threads
0.0,02:30:06,100.0,86.0,14497,0.0,263,0.0,0,0,2,0,0,0,0,0,0.0,0,0,10,0,0,0,10
2.1,02:30:08,39.7,86.7,14617,28.2,337,0.0,0,0,4,0,0,0,0,0,0.0,0,0,17,0,0,0,17
4.1,02:30:10,37.0,87.5,14766,81.5,395,0.0,0,0,4,0,0,0,0,0,0.0,0,1,19,0,0,0,19
6.1,02:30:12,34.6,87.9,14831,35.5,431,0.0,16,1,4,7,0,0,0,0,0.0,0,1,19,0,0,0,19
8.2,02:30:14,52.3,88.5,14927,313.7,523,1.5,55,3,6,7,0,0,0,0,0.0,0,1,18,0,0,0,18
10.2,02:30:16,34.0,88.8,14974,3.1,539,33.9,112,5,8,7,1,0,0,0,0.0,0,1,19,0,0,1,19
12.2,02:30:19,53.2,92.7,15639,227.7,592,133.5,721,7,12,7,4,1,0,0,0.0,0,1,20,0,0,1,20
14.2,02:30:21,43.4,92.7,15631,5.3,617,105.5,1047,7,12,7,4,1,0,0,0.0,0,1,20,0,0,1,20
16.3,02:30:23,38.4,91.9,15493,3.9,621,67.3,1065,7,14,7,6,1,8,0,0.0,1,1,19,0,0,1,19
18.3,02:30:25,35.7,91.4,15411,9.2,622,77.9,1066,7,14,7,7,1,17,0,0.0,1,1,19,0,0,1,19
20.4,02:30:27,36.0,89.9,15165,8.4,622,73.0,1062,7,14,7,7,1,24,0,0.0,1,1,19,0,0,1,19
22.4,02:30:29,41.2,88.9,14997,8.4,622,82.5,1063,7,14,7,7,1,33,0,0.0,1,1,19,0,0,1,19
24.5,02:30:31,36.3,88.7,14959,6.2,622,92.5,1063,7,14,7,7,1,41,0,0.0,1,1,19,0,0,1,19
26.5,02:30:33,37.2,89.3,15068,9.1,622,66.9,1063,7,14,7,7,1,49,0,0.0,1,1,19,0,0,1,19
28.6,02:30:35,36.2,89.1,15035,12.3,622,82.5,1063,7,14,7,7,1,57,0,0.0,1,1,19,0,0,1,19
30.6,02:30:37,38.8,89.1,15022,6.1,622,61.9,1063,7,14,7,7,1,65,0,0.0,1,1,19,0,0,1,19
32.6,02:30:39,34.8,89.2,15051,8.5,622,78.9,1064,7,14,7,7,1,73,0,0.0,1,1,19,0,0,1,19
34.7,02:30:41,37.7,89.5,15101,8.5,622,81.9,1064,7,14,7,7,1,81,0,0.0,1,1,19,0,0,1,19
36.7,02:30:43,40.2,89.9,15171,5.3,622,69.5,1065,7,14,7,7,1,89,0,0.0,1,1,19,0,0,1,19
38.7,02:30:45,40.3,90.5,15266,3.8,622,82.4,1065,7,14,7,7,1,97,0,0.0,1,1,19,0,0,1,19
40.8,02:30:47,34.6,90.8,15307,8.4,622,84.4,1065,7,14,7,7,1,106,0,0.0,1,1,19,0,0,1,19
42.9,02:30:49,36.1,88.7,14955,8.5,622,69.5,698,5,12,7,5,1,114,0,0.0,1,1,19,0,0,1,19
44.9,02:30:51,31.2,88.6,14944,26.9,622,63.9,698,5,12,7,5,1,122,0,0.0,1,1,20,0,0,1,20
46.9,02:30:53,37.4,88.6,14942,10.7,622,50.9,699,5,12,7,5,1,130,0,0.0,1,1,19,0,0,1,19
49.0,02:30:55,37.9,89.2,15045,15.2,622,46.5,736,7,14,7,7,1,138,0,0.0,1,1,19,0,0,1,19
51.0,02:30:57,38.0,89.0,15010,3.8,623,44.1,736,7,14,7,6,1,146,0,0.0,1,1,19,0,0,1,19
53.1,02:30:59,37.5,90.2,15217,6.2,623,58.4,966,7,14,7,6,1,154,0,0.0,1,1,19,0,0,1,19
55.1,02:31:01,41.5,91.7,15459,3.1,623,80.3,1071,7,14,7,8,1,163,0,0.0,1,1,19,0,0,1,19
57.2,02:31:03,35.2,91.8,15475,8.3,623,71.1,1072,7,14,7,8,1,171,0,0.0,1,1,19,0,0,1,19
59.2,02:31:06,36.9,91.2,15378,7.7,623,80.4,1072,7,14,7,8,1,178,0,0.0,1,1,19,0,0,1,19
61.3,02:31:08,37.7,91.1,15369,10.8,623,98.4,1067,7,14,7,8,1,187,0,0.0,1,1,19,0,0,1,19
63.3,02:31:10,35.9,91.1,15372,6.2,623,89.3,1067,7,14,7,8,1,195,0,0.0,1,1,19,0,0,1,19
65.3,02:31:12,32.2,91.1,15367,6.1,623,63.3,1067,7,14,7,8,1,203,0,0.0,1,1,19,0,0,1,19
67.4,02:31:14,36.6,91.1,15364,10.7,623,84.6,1067,7,14,7,8,1,211,0,0.0,1,1,19,0,0,1,19
69.4,02:31:16,35.7,91.0,15356,8.4,623,98.0,1068,7,14,7,8,1,219,0,0.0,1,1,19,0,0,1,19
71.5,02:31:18,38.3,91.0,15355,4.6,623,133.4,1068,7,14,7,8,1,227,0,0.0,1,1,19,0,0,1,19
73.5,02:31:20,33.2,91.1,15366,5.4,623,67.9,1068,7,14,7,8,1,235,0,0.0,1,1,19,0,0,1,19
75.6,02:31:22,35.3,91.2,15388,4.6,623,84.8,1068,7,14,7,8,1,243,0,0.0,1,1,19,0,0,1,19
77.6,02:31:24,41.0,91.0,15355,11.5,623,97.3,1068,7,14,7,8,1,251,0,0.0,1,1,19,0,0,1,19
79.7,02:31:26,38.6,90.3,15227,4.6,623,97.0,1068,7,14,7,8,1,260,0,0.0,1,1,19,0,0,1,19
