t,clock,sys_cpu,sys_ram_pct,sys_ram_used_mb,backend_cpu,backend_ram_mb,go2rtc_cpu,go2rtc_ram_mb,go2rtc_procs,ffmpeg_procs,go2rtc_streams_live,go2rtc_consumers,ai_active,ai_frames_recv,ai_frames_proc,ai_infer_ms_avg,ai_src_alive,ws_clients,exec_active,exec_submitted,exec_completed,recordings_active,threads
0.0,21:50:23,0.0,73.8,12454,0.0,262,0.0,0,0,2,0,0,0,0,0,0.0,0,0,11,0,0,0,9
2.0,21:50:25,36.4,74.2,12512,29.9,333,0.0,0,0,4,0,0,0,0,0,0.0,0,0,17,0,0,0,17
4.1,21:50:27,32.9,74.7,12593,90.0,411,0.0,0,0,4,0,0,0,0,0,0.0,0,0,17,0,0,0,17
6.1,21:50:29,29.9,74.7,12598,17.7,424,0.0,16,1,4,7,0,0,0,0,0.0,0,0,17,0,0,0,17
8.1,21:50:31,44.7,75.3,12696,287.9,517,0.0,16,1,4,7,0,0,0,0,0.0,0,0,16,0,0,0,16
10.1,21:50:33,34.6,75.3,12697,4.6,551,0.8,17,1,4,7,0,0,0,0,0.0,0,0,17,0,0,1,17
12.2,21:50:35,52.1,76.3,12866,226.0,601,2.3,51,3,10,7,1,1,0,0,0.0,0,0,17,0,0,1,17
14.2,21:50:37,40.7,79.2,13351,5.4,616,57.1,385,3,10,7,3,1,1,0,0.0,1,0,17,0,0,1,17
16.2,21:50:39,38.7,79.3,13382,6.9,617,17.7,391,3,10,7,3,1,13,0,0.0,1,0,17,0,0,1,17
18.3,21:50:41,37.0,79.4,13397,5.4,617,33.2,391,3,10,7,3,1,24,0,0.0,1,0,17,0,0,1,17
20.3,21:50:43,47.4,80.2,13534,3.8,617,25.3,387,3,10,7,3,1,35,0,0.0,1,0,17,0,0,1,17
22.3,21:50:45,32.1,80.1,13514,20.1,617,18.5,387,3,10,7,3,1,47,0,0.0,1,0,18,0,0,1,18
24.4,21:50:47,35.2,80.1,13506,21.4,618,33.7,387,3,10,7,3,1,58,0,0.0,1,0,17,0,0,1,17
26.4,21:50:49,38.8,80.3,13552,26.7,619,43.0,461,7,14,7,5,1,70,0,0.0,1,0,17,0,0,1,17
28.5,21:50:52,40.5,84.4,14236,6.5,618,170.9,1111,7,14,7,5,1,82,0,0.0,1,0,17,0,0,1,17
30.9,21:50:54,38.0,83.7,14115,10.9,613,136.0,1113,7,14,7,7,1,93,0,0.0,1,0,17,0,0,1,17
33.1,21:50:56,35.5,84.6,14263,8.8,614,135.8,1123,7,14,7,7,1,104,0,0.0,1,0,17,0,0,1,17
35.3,21:50:58,36.2,84.6,14271,7.1,614,129.3,1118,7,14,7,7,1,116,0,0.0,1,0,17,0,0,1,17
37.4,21:51:00,35.9,84.5,14255,8.1,614,128.4,1118,7,14,7,7,1,128,0,0.0,1,0,17,0,0,1,17
39.5,21:51:03,35.4,84.4,14230,9.4,614,125.0,1118,7,14,7,7,1,140,0,0.0,1,0,17,0,0,1,17
41.7,21:51:05,36.8,85.0,14343,16.1,613,109.1,1118,7,14,7,7,1,152,0,0.0,1,0,17,0,0,1,17
43.8,21:51:07,36.8,85.1,14353,12.4,614,116.8,1118,7,14,7,7,1,163,0,0.0,1,0,17,0,0,1,17
45.9,21:51:09,36.8,85.2,14363,11.7,614,122.7,1119,7,14,7,7,1,174,0,0.0,1,0,17,0,0,1,17
48.1,21:51:11,37.1,85.6,14441,12.6,613,127.5,1119,7,14,7,7,1,186,0,0.0,1,0,17,0,0,1,17
50.2,21:51:13,38.3,85.2,14372,11.0,614,120.0,1119,7,14,7,7,1,196,0,0.0,1,0,17,0,0,1,17
52.3,21:51:15,37.9,85.4,14400,7.7,613,96.2,1119,7,14,7,7,1,208,0,0.0,1,0,17,0,0,1,17
54.4,21:51:17,38.5,85.3,14381,10.1,614,125.4,1119,7,14,7,7,1,220,0,0.0,1,0,17,0,0,1,17
56.6,21:51:20,33.6,85.4,14396,8.5,614,126.1,1119,7,14,7,7,1,231,0,0.0,1,0,17,0,0,1,17
58.7,21:51:22,38.2,84.9,14316,16.1,614,117.7,1128,7,14,7,7,1,242,0,0.0,1,0,17,0,0,1,17
60.9,21:51:24,37.5,84.7,14284,6.0,614,141.5,1128,7,14,7,7,1,252,0,0.0,1,0,17,0,0,1,17
63.0,21:51:26,36.8,84.6,14276,10.0,614,124.4,1129,7,14,7,7,1,263,0,0.0,1,0,17,0,0,1,17
65.2,21:51:28,34.8,84.6,14266,12.3,614,130.2,1124,7,14,7,7,1,274,0,0.0,1,0,17,0,0,1,17
67.3,21:51:30,32.6,84.6,14262,9.4,613,134.4,1124,7,14,7,7,1,287,0,0.0,1,0,17,0,0,1,17
69.5,21:51:32,38.3,84.4,14240,8.6,614,131.7,1124,7,14,7,7,1,298,0,0.0,1,0,17,0,0,1,17
71.6,21:51:35,37.9,84.6,14262,10.6,614,91.1,1124,7,14,7,7,1,310,0,0.0,1,0,17,0,0,1,17
73.7,21:51:37,37.8,84.7,14279,13.0,614,63.4,1125,7,14,7,7,1,322,0,0.0,1,0,17,0,0,1,17
75.7,21:51:39,38.3,85.3,14393,9.3,614,79.6,1125,7,14,7,7,1,333,0,0.0,1,0,17,0,0,1,17
