t,clock,sys_cpu,sys_ram_pct,sys_ram_used_mb,backend_cpu,backend_ram_mb,go2rtc_cpu,go2rtc_ram_mb,go2rtc_procs,ffmpeg_procs,go2rtc_streams_live,go2rtc_consumers,ai_active,ai_frames_recv,ai_frames_proc,ai_infer_ms_avg,ai_src_alive,ws_clients,exec_active,exec_submitted,exec_completed,recordings_active,threads
0.0,13:59:48,0.0,58.0,9778,0.0,253,0.0,0,0,0,0,0,0,0,0,0.0,0,0,8,0,0,0,8
2.1,13:59:50,68.3,58.1,9798,37.9,312,0.0,0,0,2,0,0,0,0,0,0.0,0,0,20,0,0,0,20
4.1,13:59:52,71.5,58.2,9821,73.6,360,0.0,0,0,2,0,0,0,0,0,0.0,0,0,20,0,0,0,20
6.1,13:59:54,68.4,58.0,9790,66.8,408,0.0,16,1,2,7,0,0,0,0,0.0,0,0,20,0,0,0,20
8.1,13:59:56,60.4,57.5,9699,12.3,411,0.0,16,1,2,7,0,0,0,0,0.0,0,0,20,0,0,0,20
10.2,13:59:58,80.0,57.7,9735,274.8,535,0.0,17,1,2,7,0,0,0,0,0.0,0,0,20,0,0,1,20
12.2,14:00:00,74.8,57.5,9693,266.7,560,0.8,61,3,6,7,2,1,0,0,0.0,0,0,20,0,0,1,20
14.2,14:00:02,66.7,57.9,9774,44.4,597,2.3,19,1,4,7,2,1,0,0,0.0,0,0,20,0,0,1,20
16.3,14:00:04,66.4,58.8,9923,53.7,747,3.8,148,7,12,7,2,1,0,0,0.0,0,0,20,0,0,1,20
18.3,14:00:06,53.8,59.8,10093,48.2,793,43.9,201,5,8,7,5,1,0,0,0.0,0,0,21,0,0,1,21
20.5,14:00:08,36.8,60.6,10219,63.3,843,45.3,322,7,12,7,4,1,0,0,0.0,0,0,22,5,5,1,22
22.6,14:00:10,36.5,59.2,9977,89.5,803,2.2,21,1,4,7,4,1,0,0,0.0,0,0,22,11,11,1,22
24.7,14:00:12,35.2,59.2,9990,85.1,844,5.2,64,3,8,7,2,1,0,0,0.0,0,0,22,18,18,1,22
26.8,14:00:15,32.8,59.4,10021,69.2,844,26.2,117,3,8,7,3,1,0,0,0.0,0,0,22,25,25,1,22
29.0,14:00:17,37.2,59.0,9944,78.4,843,2.9,64,3,8,7,3,1,0,0,0.0,0,0,22,32,32,1,22
31.1,14:00:19,59.2,58.4,9857,112.9,843,15.4,114,3,8,7,3,1,0,0,0.0,0,0,22,50,50,1,22
33.1,14:00:21,73.9,57.5,9693,140.8,843,2.3,64,3,8,7,2,1,0,0,0.0,0,0,22,77,77,1,22
35.2,14:00:23,69.4,57.6,9720,141.5,844,15.4,113,3,8,7,2,1,0,0,0.0,0,0,22,108,108,1,22
37.2,14:00:25,71.6,57.4,9673,150.8,837,2.3,22,1,6,7,3,1,0,0,0.0,0,0,22,136,136,1,22
39.2,14:00:27,67.3,57.4,9689,149.1,843,0.8,65,3,8,7,3,1,0,0,0.0,0,0,22,164,164,1,22
41.3,14:00:29,74.6,57.5,9695,159.0,844,0.0,64,3,8,7,2,1,0,0,0.0,0,0,22,191,191,1,22
43.3,14:00:31,68.5,57.2,9654,162.2,844,3.8,74,3,8,7,2,1,0,0,0.0,0,0,22,221,221,1,22
45.3,14:00:33,68.9,57.0,9609,140.0,802,0.0,22,1,4,7,3,1,0,0,0.0,0,0,22,251,251,1,22
47.4,14:00:35,71.3,57.1,9629,164.4,842,0.8,65,3,8,7,3,1,0,0,0.0,0,0,22,281,281,1,22
49.4,14:00:37,70.5,57.0,9621,162.0,844,2.3,38,2,7,7,3,1,0,0,0.0,0,0,22,309,309,1,22
51.4,14:00:39,68.6,57.1,9630,147.0,843,3.8,78,3,8,7,3,1,0,0,0.0,0,0,22,339,339,1,22
53.5,14:00:41,71.7,57.1,9630,137.7,847,1.5,65,3,8,7,2,1,0,0,0.0,0,0,22,367,366,1,22
55.5,14:00:43,44.8,57.3,9664,103.3,842,7.5,94,3,8,7,2,1,0,0,0.0,0,0,22,379,379,1,22
57.6,14:00:45,39.7,57.0,9616,60.4,804,2.3,22,1,4,7,3,1,0,0,0.0,0,0,22,384,384,1,22
59.7,14:00:47,37.6,57.1,9629,76.5,843,3.0,65,3,8,7,3,1,0,0,0.0,0,0,22,391,391,1,22
61.7,14:00:49,37.2,57.4,9684,72.8,843,30.9,117,3,8,7,3,1,0,0,0.0,0,0,22,397,397,1,22
63.9,14:00:52,36.4,57.1,9625,74.2,803,1.4,22,1,4,7,2,1,0,0,0.0,0,0,22,402,402,1,22
66.0,14:00:54,35.3,57.2,9647,70.8,844,2.9,65,3,8,7,3,1,0,0,0.0,0,0,22,408,408,1,22
68.2,14:00:56,36.3,57.1,9628,80.8,804,0.7,22,1,4,7,3,1,0,0,0.0,0,0,22,415,415,1,22
70.3,14:00:58,34.6,57.2,9640,83.0,843,3.0,65,3,8,7,2,1,0,0,0.0,0,0,22,421,421,1,22
72.4,14:01:00,33.5,57.0,9622,70.0,803,2.3,22,1,4,7,3,1,0,0,0.0,0,0,22,428,428,1,22
74.5,14:01:02,37.2,57.1,9630,105.6,844,3.7,65,3,8,7,3,1,0,0,0.0,0,0,22,436,436,1,22
76.5,14:01:04,36.2,57.6,9711,82.4,843,27.5,203,5,10,7,3,1,0,0,0.0,0,0,22,442,442,1,22
78.7,14:01:06,37.3,58.6,9876,62.5,843,47.8,233,5,10,7,3,1,0,0,0.0,0,0,22,448,448,1,22
80.8,14:01:09,37.8,57.6,9708,56.0,844,22.5,155,5,10,7,4,1,0,0,0.0,0,0,22,453,453,1,22
82.9,14:01:11,37.4,58.9,9933,54.1,850,38.4,269,5,10,7,4,1,0,0,0.0,0,0,23,455,455,1,23
85.1,14:01:13,36.1,63.8,10756,58.6,858,22.8,314,3,8,7,4,1,0,0,0.0,0,0,22,458,458,1,22
87.2,14:01:15,36.0,63.8,10758,69.8,859,10.4,357,5,10,7,5,1,0,0,0.0,0,0,22,463,463,1,22
89.4,14:01:17,36.8,63.7,10739,82.8,817,9.7,314,3,6,7,5,1,0,0,0.0,0,0,22,470,470,1,22
91.4,14:01:19,35.0,63.8,10757,80.9,857,14.9,357,5,10,7,4,1,0,0,0.0,0,0,22,477,477,1,22
93.5,14:01:21,63.8,64.6,10896,108.0,859,33.7,434,5,10,7,5,1,0,0,0.0,0,0,22,497,497,1,22
95.6,14:01:23,74.4,63.9,10776,155.2,859,17.7,357,5,10,7,5,1,0,0,0.0,0,0,22,525,525,1,22
97.6,14:01:25,74.0,64.1,10815,159.5,858,27.5,411,5,10,7,5,1,0,0,0.0,0,0,22,552,552,1,22
99.7,14:01:27,45.7,63.9,10785,107.0,859,4.5,357,5,10,7,4,1,0,0,0.0,0,0,22,563,563,1,22
101.8,14:01:30,38.3,64.1,10817,65.9,859,29.7,404,5,10,7,5,1,0,0,0.0,0,0,22,568,568,1,22
103.9,14:01:32,37.9,64.3,10845,60.7,819,11.3,314,3,6,7,5,0,0,0,0.0,0,0,22,573,573,1,22
106.1,14:01:34,35.3,64.0,10786,59.0,816,13.1,315,3,6,7,4,0,0,0,0.0,0,0,20,578,578,1,20
108.3,14:01:36,37.9,57.8,9742,76.6,818,3.0,66,3,6,7,2,0,0,0,0.0,0,0,20,584,584,1,20
110.4,14:01:38,34.8,57.7,9727,80.3,817,29.3,138,3,6,7,2,0,0,0,0.0,0,0,20,591,591,1,20
112.5,14:01:40,35.9,62.7,10576,71.7,817,18.1,301,3,6,7,3,0,0,0,0.0,0,0,20,598,598,1,20
114.5,14:01:42,35.3,59.0,9958,83.4,818,4.5,39,2,5,7,4,0,0,0,0.0,0,0,20,605,605,1,20
116.6,14:01:44,34.0,56.8,9577,84.2,819,2.2,86,3,6,7,4,0,0,0,0.0,0,0,20,612,612,1,20
118.7,14:01:46,36.0,62.4,10527,67.9,818,48.0,314,3,6,7,3,0,0,0,0.0,0,0,20,618,618,1,20
120.9,14:01:49,35.7,58.2,9810,71.3,818,5.8,23,1,4,7,4,0,0,0,0.0,0,0,20,624,624,1,20
123.0,14:01:51,33.5,56.8,9575,51.6,819,2.9,81,3,6,7,3,0,0,0,0.0,0,0,20,628,628,1,20
125.2,14:01:53,35.7,56.7,9558,69.6,818,0.8,23,1,4,7,3,0,0,0,0.0,0,0,20,634,634,1,20
127.2,14:01:55,34.7,56.6,9545,87.0,817,1.5,23,1,4,7,2,0,0,0,0.0,0,0,22,641,641,1,22
129.3,14:01:57,38.7,56.6,9554,81.1,817,1.5,23,1,4,7,2,0,0,0,0.0,0,0,20,647,647,1,20
131.4,14:01:59,61.2,56.7,9568,134.0,818,0.8,23,1,4,7,2,0,0,0,0.0,0,0,20,671,671,1,20
133.4,14:02:01,72.2,56.7,9558,171.1,817,0.8,23,1,4,7,2,0,0,0,0.0,0,0,20,701,701,1,20
135.4,14:02:03,74.6,56.7,9560,143.2,817,1.5,24,1,4,7,2,0,0,0,0.0,0,0,20,730,730,1,20
137.5,14:02:05,74.5,56.7,9564,151.8,818,0.0,24,1,4,7,2,0,0,0,0.0,0,0,20,759,759,1,20
139.5,14:02:07,62.3,56.7,9560,117.7,816,1.5,24,1,4,7,2,0,0,0,0.0,0,0,20,783,783,1,20
141.6,14:02:09,36.6,56.7,9562,62.1,818,6.0,66,3,6,7,2,0,0,0,0.0,0,0,20,788,788,1,20
143.7,14:02:11,36.1,57.0,9613,75.6,818,24.9,119,3,6,7,2,0,0,0,0.0,0,0,20,794,794,1,20
145.8,14:02:14,37.9,56.7,9559,96.5,818,2.2,66,3,6,7,3,0,0,0,0.0,0,0,20,801,801,1,20
