t,clock,sys_cpu,sys_ram_pct,sys_ram_used_mb,backend_cpu,backend_ram_mb,go2rtc_cpu,go2rtc_ram_mb,go2rtc_procs,ffmpeg_procs,go2rtc_streams_live,go2rtc_consumers,ai_active,ai_frames_recv,ai_frames_proc,ai_infer_ms_avg,ai_src_alive,ws_clients,exec_active,exec_submitted,exec_completed,recordings_active,threads
0.0,01:16:54,0.0,84.9,14327,0.0,253,0.0,0,0,0,0,0,0,0,0,0.0,0,0,10,0,0,0,9
2.1,01:16:56,37.1,85.7,14447,21.3,301,0.0,0,0,2,0,0,0,0,0,0.0,0,0,13,0,0,0,13
4.1,01:16:58,37.0,85.8,14470,53.6,355,0.0,0,0,2,0,0,0,0,0,0.0,0,0,17,0,0,0,17
6.1,01:17:00,35.6,85.9,14482,59.3,434,0.0,15,1,4,0,0,0,0,0,0.0,0,0,17,0,0,0,17
8.1,01:17:02,35.5,86.0,14506,37.8,461,1.5,69,3,6,7,0,0,0,0,0.0,0,0,17,0,0,0,17
10.1,01:17:04,37.9,88.7,14953,7.6,482,76.5,409,3,6,7,1,0,0,0,0.0,0,0,18,0,0,1,18
12.2,01:17:06,58.3,89.3,15059,372.5,683,13.7,462,5,10,7,4,1,0,0,0.0,0,0,18,0,0,1,18
14.2,01:17:08,41.0,91.5,15431,6.1,695,81.2,779,5,12,7,4,1,0,0,0.0,0,0,17,0,0,1,17
16.3,01:17:11,50.9,91.3,15395,11.4,698,50.4,787,5,12,7,5,1,8,0,0.0,1,0,17,0,0,1,17
18.3,01:17:13,35.9,89.3,15070,36.8,699,45.3,787,5,12,7,5,1,16,0,0.0,1,0,17,0,0,1,17
20.4,01:17:15,35.1,88.9,15000,11.5,699,36.8,787,5,12,7,5,1,24,0,0.0,1,0,17,0,0,1,17
22.4,01:17:17,39.4,89.1,15029,8.5,700,66.8,839,7,14,7,6,1,32,0,0.0,1,0,17,0,0,1,17
24.6,01:17:19,36.4,89.5,15093,8.7,699,121.8,872,7,14,7,7,1,41,0,0.0,1,0,17,0,0,1,17
26.8,01:17:21,36.7,91.9,15498,12.7,699,150.9,1170,7,14,7,7,1,49,0,0.0,1,0,19,0,0,1,19
29.2,01:17:23,35.8,92.0,15511,13.7,700,137.0,1171,7,14,7,8,1,58,0,0.0,1,0,17,0,0,1,17
31.4,01:17:26,33.2,91.8,15484,9.1,700,132.3,1171,7,14,7,9,1,66,0,0.0,1,0,18,0,0,1,18
33.6,01:17:28,35.2,91.6,15454,9.3,700,129.0,1172,7,14,7,10,1,75,0,0.0,1,1,19,0,0,1,19
35.8,01:17:30,36.3,91.6,15444,13.6,700,117.8,1172,7,14,7,10,1,83,0,0.0,1,1,19,0,0,1,19
37.8,01:17:32,37.6,91.7,15469,11.7,700,119.3,1172,7,14,7,9,1,91,0,0.0,1,1,19,0,0,1,19
40.0,01:17:34,40.4,91.6,15455,13.2,700,119.4,1173,7,14,7,9,1,100,0,0.0,1,1,19,0,0,1,19
42.1,01:17:36,36.9,91.6,15454,9.1,700,124.4,1173,7,14,7,9,1,108,0,0.0,1,1,19,0,0,1,19
44.2,01:17:38,34.7,91.6,15448,10.2,700,125.5,1173,7,14,7,9,1,116,0,0.0,1,1,19,0,0,1,19
46.4,01:17:41,36.5,91.7,15462,9.3,700,130.7,1174,7,14,7,10,1,124,0,0.0,1,1,19,0,0,1,19
48.6,01:17:43,34.1,92.5,15609,9.9,700,135.7,1174,7,14,7,9,1,132,0,0.0,1,1,19,0,0,1,19
50.7,01:17:45,38.1,91.6,15457,11.6,700,124.5,1174,7,14,7,9,1,141,0,0.0,1,1,19,0,0,1,19
52.9,01:17:47,36.4,91.6,15454,12.6,700,112.0,1174,7,14,7,9,1,149,0,0.0,1,1,19,0,0,1,19
55.0,01:17:49,37.0,91.6,15457,10.9,700,131.2,1174,7,14,7,9,1,157,0,0.0,1,1,19,0,0,1,19
57.1,01:17:51,34.9,91.4,15418,11.9,700,120.1,1175,7,14,7,9,1,165,0,0.0,1,1,19,0,0,1,19
59.2,01:17:53,36.2,91.8,15478,10.4,700,117.5,1175,7,14,7,9,1,173,0,0.0,1,1,19,0,0,1,19
61.3,01:17:56,38.5,91.7,15471,10.9,700,131.3,1175,7,14,7,9,1,181,0,0.0,1,1,19,0,0,1,19
63.5,01:17:58,36.5,91.8,15482,8.7,700,120.8,1175,7,14,7,9,1,189,0,0.0,1,1,19,0,0,1,19
65.6,01:18:00,35.0,91.9,15502,12.3,700,120.9,1175,7,14,7,9,1,198,0,0.0,1,1,19,0,0,1,19
67.8,01:18:02,35.8,91.8,15486,8.7,700,116.2,1175,7,14,7,9,1,206,0,0.0,1,1,19,0,0,1,19
