t,clock,sys_cpu,sys_ram_pct,sys_ram_used_mb,backend_cpu,backend_ram_mb,go2rtc_cpu,go2rtc_ram_mb,go2rtc_procs,ffmpeg_procs,go2rtc_streams_live,go2rtc_consumers,ai_active,ai_frames_recv,ai_frames_proc,ai_infer_ms_avg,ai_src_alive,ws_clients,exec_active,exec_submitted,exec_completed,recordings_active,threads
0.0,02:16:22,0.0,85.0,14342,0.0,264,0.0,0,0,2,0,0,0,0,0,0.0,0,0,10,0,0,0,9
2.0,02:16:24,36.6,85.4,14411,20.7,330,0.0,0,0,4,0,0,0,0,0,0.0,0,0,13,0,0,0,13
4.1,02:16:26,34.0,85.7,14450,84.5,397,0.0,0,0,4,0,0,0,0,0,0.0,0,1,19,0,0,0,19
6.1,02:16:28,34.3,86.2,14545,46.7,426,0.0,16,1,4,7,0,0,0,0,0.0,0,1,19,0,0,0,19
8.1,02:16:31,34.3,85.9,14490,20.3,429,0.0,16,1,4,7,0,0,0,0,0.0,0,1,19,0,0,0,19
10.2,02:16:33,31.4,86.4,14573,198.0,529,0.0,16,1,4,7,0,0,0,0,0.0,0,1,20,0,0,1,20
12.7,02:16:35,32.9,86.5,14597,189.8,584,2.6,51,3,8,7,0,1,0,0,0.0,0,1,20,0,0,1,20
15.1,02:16:37,40.7,86.9,14651,176.2,584,28.5,80,3,8,7,1,1,0,0,0.0,0,1,20,0,0,1,20
17.1,02:16:40,38.8,88.8,14986,11.0,616,77.2,389,3,8,7,1,1,4,0,0.0,1,1,20,0,0,1,20
19.2,02:16:42,37.3,88.7,14967,11.0,619,38.6,389,3,10,7,2,1,13,0,0.0,1,1,19,0,0,1,19
21.5,02:16:44,34.3,88.7,14959,10.1,619,44.6,464,7,14,7,5,1,21,0,0.0,1,1,19,0,0,1,19
23.7,02:16:46,37.3,91.5,15427,10.6,616,148.9,973,7,14,7,5,1,29,0,0.0,1,1,19,0,0,1,19
25.7,02:16:48,40.4,92.3,15573,10.7,613,200.4,1139,7,14,7,5,1,37,0,0.0,1,1,19,0,0,1,19
28.2,02:16:51,34.7,92.4,15591,6.5,612,130.2,1140,7,14,7,7,1,45,0,0.0,1,1,19,0,0,1,19
30.4,02:16:53,32.2,92.6,15622,6.9,611,131.3,1119,7,14,7,7,1,54,0,0.0,1,1,19,0,0,1,19
32.7,02:16:55,34.9,92.3,15568,9.5,611,117.9,1119,7,14,7,7,1,62,0,0.0,1,1,19,0,0,1,19
34.8,02:16:57,34.9,92.2,15547,8.9,611,123.9,1120,7,14,7,7,1,70,0,0.0,1,1,19,0,0,1,19
36.9,02:16:59,35.7,92.1,15529,9.9,611,131.7,1120,7,14,7,7,1,78,0,0.0,1,1,19,0,0,1,19
39.0,02:17:01,36.4,92.0,15509,6.7,612,124.5,1120,7,14,7,7,1,86,0,0.0,1,1,19,0,0,1,19
41.1,02:17:04,33.9,91.8,15492,8.1,611,119.6,1121,7,14,7,7,1,95,0,0.0,1,1,19,0,0,1,19
43.2,02:17:06,34.0,91.8,15477,8.0,612,135.1,1121,7,14,7,7,1,103,0,0.0,1,1,20,0,0,1,20
45.4,02:17:08,33.6,91.7,15469,11.2,611,138.6,1125,7,14,7,8,1,112,0,0.0,1,1,19,0,0,1,19
47.5,02:17:10,36.5,92.4,15578,5.5,612,129.9,1127,7,14,7,8,1,120,0,0.0,1,1,19,0,0,1,19
49.8,02:17:12,35.6,91.6,15457,7.2,611,115.5,1127,7,14,7,7,1,129,0,0.0,1,1,19,0,0,1,19
51.9,02:17:14,32.7,91.5,15441,14.4,611,127.5,1127,7,14,7,7,1,136,0,0.0,1,1,19,0,0,1,19
54.0,02:17:16,34.1,91.4,15421,16.1,612,121.6,1127,7,14,7,7,1,145,0,0.0,1,1,19,0,0,1,19
56.1,02:17:19,35.2,90.1,15195,3.7,612,124.7,1128,7,14,7,7,1,153,0,0.0,1,1,19,0,0,1,19
58.2,02:17:21,34.0,87.5,14753,8.1,612,88.3,762,5,12,7,5,1,161,0,0.0,1,1,19,0,0,1,19
60.3,02:17:23,35.4,86.8,14641,7.6,611,83.6,762,5,12,7,5,1,169,0,0.0,1,1,19,0,0,1,19
62.4,02:17:25,38.2,86.9,14662,9.6,611,76.2,763,5,12,7,5,1,178,0,0.0,1,1,19,0,0,1,19
64.5,02:17:27,35.7,86.9,14655,12.8,612,76.1,763,5,12,7,5,1,186,0,0.0,1,1,19,0,0,1,19
66.6,02:17:29,34.7,86.8,14633,8.8,612,93.6,763,5,12,7,5,1,194,0,0.0,1,1,19,0,0,1,19
68.7,02:17:31,34.2,86.8,14632,11.7,612,87.7,762,5,12,7,5,1,203,0,0.0,1,1,19,0,0,1,19
70.9,02:17:33,39.2,86.8,14634,15.4,612,81.8,762,5,12,7,5,1,211,0,0.0,1,1,19,0,0,1,19
73.0,02:17:35,34.2,87.2,14707,10.4,613,81.9,762,5,12,7,5,1,220,0,0.0,1,1,19,0,0,1,19
75.1,02:17:38,33.7,86.9,14665,7.5,613,79.0,763,5,12,7,5,1,228,0,0.0,1,1,19,0,0,1,19
77.2,02:17:40,31.4,86.8,14648,12.1,612,91.4,763,5,12,7,5,1,236,0,0.0,1,1,19,0,0,1,19
79.3,02:17:42,33.8,86.8,14641,9.6,612,78.8,763,5,12,7,5,1,244,0,0.0,1,1,19,0,0,1,19
81.4,02:17:44,34.1,87.7,14788,7.5,613,89.5,763,5,12,7,5,1,253,0,0.0,1,1,19,0,0,1,19
83.4,02:17:46,35.5,87.4,14737,11.2,612,84.7,763,5,12,7,5,1,261,0,0.0,1,1,19,0,0,1,19
85.5,02:17:48,37.2,87.7,14795,5.9,613,80.1,763,5,12,7,5,1,269,0,0.0,1,1,19,0,0,1,19
87.6,02:17:50,36.0,87.7,14797,11.3,613,77.1,763,5,12,7,5,1,277,0,0.0,1,1,19,0,0,1,19
89.8,02:17:52,33.2,87.9,14828,5.9,612,84.3,763,5,12,7,5,1,286,0,0.0,1,1,19,0,0,1,19
91.9,02:17:54,34.4,87.9,14822,8.9,612,93.7,763,5,12,7,5,1,294,0,0.0,1,1,19,0,0,1,19
94.0,02:17:56,31.9,87.9,14819,9.2,613,81.1,763,5,12,7,5,1,302,0,0.0,1,1,19,0,0,1,19
96.1,02:17:59,36.5,87.9,14821,11.4,613,81.3,763,5,12,7,5,1,310,0,0.0,1,1,19,0,0,1,19
98.2,02:18:01,32.4,87.9,14828,5.9,612,87.1,763,5,12,7,5,1,319,0,0.0,1,1,19,0,0,1,19
100.3,02:18:03,37.4,88.0,14837,10.4,613,84.7,763,5,12,7,5,1,326,0,0.0,1,1,19,0,0,1,19
102.4,02:18:05,36.3,88.1,14856,13.5,613,92.9,763,5,12,7,5,1,334,0,0.0,1,1,19,0,0,1,19
104.5,02:18:07,37.7,88.4,14918,5.1,612,84.9,763,5,12,7,5,1,342,0,0.0,1,1,19,0,0,1,19
106.6,02:18:09,28.2,88.4,14916,9.5,612,110.7,763,5,12,7,5,1,351,0,0.0,1,1,19,0,0,1,19
108.7,02:18:11,32.2,88.5,14924,12.7,613,95.0,763,5,12,7,5,1,359,0,0.0,1,1,19,0,0,1,19
110.8,02:18:13,30.1,88.6,14936,10.7,613,134.4,764,5,12,7,5,1,367,0,0.0,1,1,19,0,0,1,19
112.8,02:18:15,34.4,88.8,14972,8.1,613,89.3,764,5,12,7,5,1,375,0,0.0,1,1,19,0,0,1,19
114.9,02:18:17,29.0,88.5,14927,14.2,613,107.0,764,5,12,7,5,1,383,0,0.0,1,1,19,0,0,1,19
117.0,02:18:19,29.4,88.4,14911,6.9,612,116.2,764,5,12,7,5,1,391,0,0.0,1,1,19,0,0,1,19
119.1,02:18:22,26.6,88.3,14901,6.1,612,111.3,764,5,12,7,5,1,399,0,0.0,1,1,19,0,0,1,19
121.2,02:18:24,31.6,88.8,14976,6.1,613,90.5,764,5,12,7,5,1,408,0,0.0,1,1,19,0,0,1,19
123.3,02:18:26,31.2,88.4,14910,8.9,612,83.5,764,5,12,7,5,1,416,0,0.0,1,1,19,0,0,1,19
125.4,02:18:28,26.9,88.3,14901,9.1,613,95.4,764,5,12,7,5,1,424,0,0.0,1,1,19,0,0,1,19
127.4,02:18:30,25.2,88.4,14918,10.5,612,103.6,764,5,12,7,5,1,432,0,0.0,1,1,19,0,0,1,19
129.5,02:18:32,29.2,89.2,15043,6.1,612,104.2,764,5,12,7,5,1,440,0,0.0,1,1,19,0,0,1,19
131.6,02:18:34,32.1,88.4,14912,11.1,612,105.1,764,5,12,7,5,1,448,0,0.0,1,1,19,0,0,1,19
133.7,02:18:36,25.3,88.1,14853,9.2,579,104.6,764,5,10,7,5,1,456,0,0.0,1,1,19,0,0,1,19
135.9,02:18:38,33.6,88.0,14850,14.9,615,83.4,764,5,12,7,5,1,464,0,0.0,1,1,19,0,0,1,19
138.0,02:18:40,29.7,88.1,14852,7.4,616,83.2,764,5,12,7,5,1,473,0,0.0,1,1,19,0,0,1,19
140.0,02:18:42,26.4,88.1,14856,12.1,616,111.3,764,5,12,7,5,1,481,0,0.0,1,1,19,0,0,1,19
142.1,02:18:45,27.5,88.0,14849,5.9,616,109.0,764,5,12,7,5,1,488,0,0.0,1,1,19,0,0,1,19
144.2,02:18:47,25.8,88.1,14852,12.2,616,108.4,764,5,12,7,5,1,496,0,0.0,1,1,19,0,0,1,19
146.3,02:18:49,31.4,88.0,14850,10.0,616,101.5,764,5,12,7,5,1,504,0,0.0,1,1,19,0,0,1,19
148.3,02:18:51,28.8,88.2,14877,8.4,616,108.1,764,5,12,7,5,1,513,0,0.0,1,1,19,0,0,1,19
150.4,02:18:53,33.2,88.2,14881,11.4,616,85.0,764,5,12,7,5,1,520,0,0.0,1,1,19,0,0,1,19
152.5,02:18:55,32.0,88.3,14893,11.4,616,78.4,764,5,12,7,5,1,528,0,0.0,1,1,19,0,0,1,19
154.5,02:18:57,34.7,88.6,14941,8.3,616,95.5,764,5,12,7,5,1,537,0,0.0,1,1,19,0,0,1,19
156.6,02:18:59,33.5,87.8,14810,14.1,616,99.1,764,5,12,7,5,1,545,0,0.0,1,1,19,0,0,1,19
158.7,02:19:01,26.6,87.9,14831,13.6,616,96.2,765,5,12,7,5,1,553,0,0.0,1,1,19,0,0,1,19
160.8,02:19:03,31.1,88.1,14860,8.9,616,91.7,765,5,12,7,5,1,561,0,0.0,1,1,19,0,0,1,19
162.9,02:19:05,31.5,88.0,14836,10.6,616,102.5,765,5,12,7,5,1,569,0,0.0,1,1,19,0,0,1,19
165.0,02:19:07,23.9,87.9,14833,12.9,616,103.3,765,5,12,7,5,1,577,0,0.0,1,1,19,0,0,1,19
167.0,02:19:09,29.2,87.9,14825,9.8,616,99.3,765,5,12,7,5,1,585,0,0.0,1,1,19,0,0,1,19
169.1,02:19:11,22.5,87.9,14831,6.8,616,99.7,765,5,12,7,5,1,593,0,0.0,1,1,19,0,0,1,19
171.2,02:19:14,27.0,88.0,14842,10.4,616,101.3,765,5,12,7,5,1,602,0,0.0,1,1,19,0,0,1,19
173.3,02:19:16,28.5,88.1,14863,7.6,616,104.3,765,5,12,7,5,1,610,0,0.0,1,1,19,0,0,1,19
175.3,02:19:18,33.6,88.3,14896,11.3,616,107.7,765,5,12,7,5,1,617,0,0.0,1,1,19,0,0,1,19
177.4,02:19:20,35.1,88.4,14909,8.4,616,108.1,765,5,12,7,5,1,626,0,0.0,1,1,19,0,0,1,19
179.4,02:19:22,29.7,88.5,14924,9.1,616,90.9,765,5,12,7,5,1,634,0,0.0,1,1,19,0,0,1,19
181.5,02:19:24,25.0,88.6,14936,8.3,616,94.0,765,5,12,7,5,1,642,0,0.0,1,1,19,0,0,1,19
183.5,02:19:26,32.3,88.6,14951,9.9,616,72.9,765,5,12,7,5,1,650,0,0.0,1,1,19,0,0,1,19
185.6,02:19:28,33.4,88.7,14954,8.5,616,83.5,766,5,12,7,5,1,658,0,0.0,1,1,19,0,0,1,19
187.6,02:19:30,31.4,88.6,14948,4.4,616,96.7,766,5,12,7,5,1,666,0,0.0,1,1,19,0,0,1,19
189.7,02:19:32,33.1,88.7,14962,10.3,616,113.1,766,5,12,7,5,1,674,0,0.0,1,1,19,0,0,1,19
191.8,02:19:34,32.0,88.7,14958,8.8,616,113.8,766,5,12,7,5,1,682,0,0.0,1,1,19,0,0,1,19
193.9,02:19:36,33.9,88.8,14983,10.0,616,85.5,766,5,12,7,5,1,690,0,0.0,1,1,19,0,0,1,19
196.0,02:19:38,36.9,88.9,15003,5.7,616,35.7,766,5,12,7,5,1,695,0,0.0,1,1,19,0,0,1,19
198.2,02:19:41,39.3,89.0,15013,3.0,616,0.7,766,5,12,7,5,1,695,0,0.0,1,1,19,0,0,1,19
200.3,02:19:43,41.5,88.8,14984,5.1,535,0.0,381,3,6,7,3,1,696,0,0.0,1,0,17,0,0,1,17
203.4,02:19:46,42.6,88.2,14884,3.2,580,0.0,32,1,7,7,2,1,696,0,0.0,1,0,17,0,0,1,17
206.7,02:19:49,41.0,89.6,15111,1.2,597,0.0,32,1,8,7,2,1,696,0,0.0,1,0,17,0,0,1,17
209.4,02:19:52,38.5,89.1,15021,5.9,597,0.7,32,1,8,7,2,1,696,0,0.0,0,0,17,0,0,1,17
