t,clock,sys_cpu,sys_ram_pct,sys_ram_used_mb,backend_cpu,backend_ram_mb,go2rtc_cpu,go2rtc_ram_mb,go2rtc_procs,ffmpeg_procs,go2rtc_streams_live,go2rtc_consumers,ai_active,ai_frames_recv,ai_frames_proc,ai_infer_ms_avg,ai_src_alive,ws_clients,exec_active,exec_submitted,exec_completed,recordings_active,threads
0.0,00:15:04,0.0,73.0,12320,0.0,271,0.0,0,0,2,0,0,0,0,0,0.0,0,0,11,0,0,0,10
2.1,00:15:06,41.0,74.1,12500,26.7,356,0.0,0,0,4,0,0,0,0,0,0.0,0,0,16,0,0,0,16
4.1,00:15:08,40.3,75.1,12663,68.1,410,0.0,0,0,4,0,0,0,0,0,0.0,0,0,16,0,0,0,16
6.1,00:15:10,45.8,74.9,12636,76.8,450,0.0,0,0,4,0,0,0,0,0,0.0,0,0,16,0,0,0,16
8.2,00:15:12,57.5,75.3,12704,305.7,536,0.0,0,0,4,0,0,0,0,0,0.0,0,0,15,0,0,0,15
10.2,00:15:14,38.8,75.3,12693,1.6,552,0.0,0,0,4,0,0,0,0,0,0.0,0,0,16,0,0,1,16
12.2,00:15:16,55.2,75.4,12721,231.8,620,0.0,0,0,6,0,0,1,0,0,0.0,0,0,17,0,0,1,17
14.2,00:15:18,36.6,75.4,12723,2.3,620,0.0,0,0,6,0,0,1,0,0,0.0,0,0,17,0,0,1,17
16.3,00:15:20,37.9,75.6,12743,1.5,620,0.0,0,0,6,0,0,1,0,0,0.0,0,0,17,0,0,1,17
18.3,00:15:22,41.1,75.7,12760,13.2,632,0.0,0,0,6,0,0,1,0,0,0.0,0,0,16,0,0,1,16
20.3,00:15:24,38.5,75.8,12789,0.8,632,0.0,0,0,6,0,0,1,0,0,0.0,0,0,16,0,0,1,16
22.3,00:15:26,40.0,76.1,12833,6.1,632,0.0,0,0,6,0,0,1,0,0,0.0,0,0,16,0,0,1,16
24.3,00:15:29,40.2,75.9,12810,2.4,602,0.0,0,0,6,0,0,1,0,0,0.0,0,0,16,0,0,1,16
26.4,00:15:31,36.9,75.8,12791,0.8,602,0.0,0,0,6,0,0,1,0,0,0.0,0,0,16,0,0,1,16
28.4,00:15:33,36.3,75.8,12789,2.3,602,0.0,0,0,6,0,0,1,0,0,0.0,0,0,16,0,0,1,16
30.4,00:15:35,37.8,75.6,12749,1.6,602,0.0,0,0,6,0,0,1,0,0,0.0,0,0,16,0,0,1,16
32.4,00:15:37,34.5,75.2,12686,3.1,602,0.0,0,0,6,0,0,1,0,0,0.0,0,0,16,0,0,1,16
34.4,00:15:39,34.4,74.7,12607,1.5,602,0.0,0,0,6,0,0,1,0,0,0.0,0,0,16,0,0,1,16
36.5,00:15:41,35.7,74.2,12514,1.5,602,0.0,0,0,6,0,0,1,0,0,0.0,0,0,16,0,0,1,16
38.5,00:15:43,35.3,74.0,12489,0.8,602,0.0,0,0,6,0,0,1,0,0,0.0,0,0,16,0,0,1,16
40.5,00:15:45,39.9,74.9,12631,3.1,602,0.0,0,0,6,0,0,1,0,0,0.0,0,0,16,0,0,1,16
42.6,00:15:47,39.7,74.1,12504,5.4,602,0.0,0,0,6,0,0,1,0,0,0.0,0,0,16,0,0,1,16
44.6,00:15:49,36.8,74.1,12503,0.8,602,0.0,0,0,6,0,0,1,0,0,0.0,0,0,16,0,0,1,16
46.6,00:15:51,39.2,74.1,12501,1.5,602,0.0,0,0,6,0,0,1,0,0,0.0,0,0,16,0,0,1,16
48.6,00:15:53,33.9,74.6,12589,1.5,602,0.0,0,0,6,0,0,1,0,0,0.0,0,0,16,0,0,1,16
