t,clock,sys_cpu,sys_ram_pct,sys_ram_used_mb,backend_cpu,backend_ram_mb,go2rtc_cpu,go2rtc_ram_mb,go2rtc_procs,ffmpeg_procs,go2rtc_streams_live,go2rtc_consumers,ai_active,ai_frames_recv,ai_frames_proc,ai_infer_ms_avg,ai_src_alive,ws_clients,exec_active,exec_submitted,exec_completed,recordings_active,threads
0.0,01:55:11,0.0,91.6,15454,0.0,266,0.0,0,0,2,0,0,0,0,0,0.0,0,0,11,0,0,0,9
2.0,01:55:14,29.8,91.9,15496,29.0,365,0.0,0,0,4,0,0,0,0,0,0.0,0,0,17,0,0,0,17
4.1,01:55:16,26.3,92.0,15518,76.1,427,0.0,0,0,4,0,0,0,0,0,0.0,0,0,17,0,0,0,17
6.1,01:55:18,23.2,92.1,15537,29.7,457,0.0,16,1,4,7,0,0,0,0,0.0,0,0,17,0,0,0,17
8.1,01:55:20,41.1,92.6,15623,316.2,548,5.3,70,3,6,7,1,0,0,0,0.0,0,0,16,0,0,0,16
10.2,01:55:22,29.7,94.4,15919,2.3,564,54.1,348,3,6,7,1,0,0,0,0.0,0,0,17,0,0,1,17
12.2,01:55:24,47.6,91.6,15455,220.0,624,39.7,451,5,10,7,4,1,0,0,0.0,0,1,20,0,0,1,20
14.2,01:55:26,31.7,92.5,15609,6.1,650,86.0,745,7,14,7,5,1,0,0,0.0,0,1,19,0,0,1,19
16.3,01:55:28,33.3,92.1,15528,10.9,650,84.8,790,7,14,7,5,1,9,0,0.0,1,1,19,0,0,1,19
18.3,01:55:30,26.9,93.0,15678,9.9,651,114.7,1102,7,14,7,7,1,17,0,0.0,1,1,19,0,0,1,19
20.4,01:55:32,37.6,92.5,15599,10.7,652,129.2,1104,7,14,7,7,1,25,0,0.0,1,1,19,0,0,1,19
22.4,01:55:34,34.2,92.4,15580,4.6,651,113.9,728,5,12,7,7,1,33,0,0.0,1,1,19,0,0,1,19
24.5,01:55:36,41.2,89.8,15154,9.2,651,119.8,728,5,12,7,5,1,41,0,0.0,1,1,19,0,0,1,19
26.5,01:55:38,29.0,89.8,15153,12.9,652,115.7,729,5,12,7,5,1,49,0,0.0,1,1,19,0,0,1,19
28.6,01:55:40,37.1,89.8,15151,9.3,651,89.3,729,5,12,7,5,1,57,0,0.0,1,1,19,0,0,1,19
30.6,01:55:42,27.4,89.8,15146,10.0,651,103.4,729,5,12,7,5,1,65,0,0.0,1,1,19,0,0,1,19
32.6,01:55:44,34.8,89.7,15130,9.2,651,82.6,729,5,12,7,5,1,73,0,0.0,1,1,19,0,0,1,19
34.7,01:55:46,32.5,89.7,15130,9.2,651,108.8,729,5,12,7,5,1,81,0,0.0,1,1,19,0,0,1,19
36.7,01:55:48,36.3,89.7,15134,11.4,651,102.7,729,5,12,7,5,1,89,0,0.0,1,1,19,0,0,1,19
38.8,01:55:50,34.1,90.3,15230,12.9,651,103.4,729,5,12,7,5,1,98,0,0.0,1,1,19,0,0,1,19
40.8,01:55:52,34.4,90.6,15281,13.4,651,111.9,729,5,12,7,5,1,106,0,0.0,1,1,19,0,0,1,19
42.9,01:55:54,35.6,90.4,15254,6.8,651,102.7,729,5,12,7,5,1,114,0,0.0,1,1,19,0,0,1,19
45.0,01:55:56,38.3,90.1,15198,10.7,651,85.8,729,5,12,7,5,1,122,0,0.0,1,1,19,0,0,1,19
47.1,01:55:59,33.5,90.1,15198,1.4,651,116.6,732,5,12,7,5,1,131,0,0.0,1,1,19,0,0,1,19
49.2,01:56:01,36.4,91.7,15475,8.9,651,111.1,732,5,12,7,7,1,139,0,0.0,1,1,19,0,0,1,19
51.3,01:56:03,30.2,90.5,15273,11.9,651,92.6,733,5,12,7,6,1,147,0,0.0,1,1,19,0,0,1,19
53.4,01:56:05,28.7,90.4,15254,8.1,651,92.5,733,5,12,7,6,1,155,0,0.0,1,1,19,0,0,1,19
55.5,01:56:07,29.1,90.4,15251,7.3,651,100.3,733,5,12,7,6,1,164,0,0.0,1,1,19,0,0,1,19
57.6,01:56:09,28.2,90.0,15173,7.5,651,101.7,733,5,12,7,6,1,172,0,0.0,1,1,19,0,0,1,19
59.7,01:56:11,27.3,90.0,15179,12.9,651,91.3,733,5,12,7,6,1,180,0,0.0,1,1,19,0,0,1,19
61.8,01:56:13,26.7,90.0,15178,12.9,651,100.6,733,5,12,7,6,1,188,0,0.0,1,1,19,0,0,1,19
63.8,01:56:15,25.5,90.0,15181,6.9,651,101.0,734,5,12,7,6,1,196,0,0.0,1,1,19,0,0,1,19
65.9,01:56:17,26.9,89.9,15169,11.6,651,125.7,734,5,12,7,6,1,205,0,0.0,1,1,19,0,0,1,19
68.0,01:56:20,26.9,90.0,15174,6.8,651,101.8,734,5,12,7,6,1,213,0,0.0,1,1,19,0,0,1,19
70.1,01:56:22,26.8,89.9,15159,7.5,651,114.9,734,5,12,7,6,1,220,0,0.0,1,1,19,0,0,1,19
72.2,01:56:24,28.5,89.9,15164,8.9,651,93.8,749,6,13,7,5,1,228,0,0.0,1,1,19,0,0,1,19
