t,clock,sys_cpu,sys_ram_pct,sys_ram_used_mb,backend_cpu,backend_ram_mb,go2rtc_cpu,go2rtc_ram_mb,go2rtc_procs,ffmpeg_procs,go2rtc_streams_live,go2rtc_consumers,ai_active,ai_frames_recv,ai_frames_proc,ai_infer_ms_avg,ai_src_alive,ws_clients,exec_active,exec_submitted,exec_completed,recordings_active,threads
0.0,00:46:00,0.0,90.0,15178,0.0,265,0.0,0,0,2,0,0,0,0,0,0.0,0,0,10,0,0,0,9
2.0,00:46:02,37.8,90.5,15261,37.4,348,0.0,0,0,4,0,0,0,0,0,0.0,0,0,17,0,0,0,17
4.1,00:46:04,36.7,90.8,15308,79.7,402,0.0,0,0,4,0,0,0,0,0,0.0,0,0,17,0,0,0,17
6.1,00:46:06,35.8,91.1,15365,40.1,442,0.0,16,1,4,7,0,0,0,0,0.0,0,0,17,0,0,0,17
8.1,00:46:08,46.7,91.6,15452,253.0,533,0.0,16,1,4,7,0,0,0,0,0.0,0,0,16,0,0,0,16
10.2,00:46:10,38.7,91.8,15488,68.4,551,0.0,16,1,4,7,0,0,0,0,0.0,0,0,17,0,0,1,17
12.2,00:46:12,49.2,91.9,15502,229.0,625,2.3,58,3,8,7,1,1,0,0,0.0,0,0,18,0,0,1,18
14.3,00:46:14,35.8,93.6,15782,3.8,628,61.4,306,3,10,7,2,1,0,0,0.0,0,0,17,0,0,1,17
16.3,00:46:16,38.7,93.0,15688,6.2,634,46.0,393,3,10,7,2,1,6,0,0.0,1,0,17,0,0,1,17
18.3,00:46:18,37.1,92.8,15647,7.6,634,15.3,393,3,10,7,3,1,14,0,0.0,1,0,17,0,0,1,17
20.4,00:46:20,35.9,92.6,15617,8.4,635,13.7,393,3,10,7,3,1,23,0,0.0,1,0,17,0,0,1,17
22.4,00:46:22,34.5,92.6,15617,3.1,635,22.1,391,3,10,7,3,1,31,0,0.0,1,0,17,0,0,1,17
24.5,00:46:25,38.3,92.6,15620,40.5,635,20.5,391,3,10,7,3,1,39,0,0.0,1,0,17,0,0,1,17
26.5,00:46:27,37.3,92.8,15650,13.7,636,26.7,469,7,14,7,4,1,47,0,0.0,1,0,17,0,0,1,17
28.6,00:46:29,36.8,93.2,15718,5.4,636,56.4,518,7,14,7,4,1,55,0,0.0,1,0,17,0,0,1,17
30.6,00:46:31,51.7,96.8,16330,1.6,636,161.3,1138,7,14,7,5,1,63,0,0.0,1,0,17,0,0,1,17
32.6,00:46:33,42.8,91.3,15406,5.4,636,26.9,431,5,12,7,3,1,71,0,0.0,1,0,17,0,0,1,17
34.7,00:46:35,40.9,91.6,15442,9.5,636,53.1,505,7,14,7,3,1,80,0,0.0,1,0,17,0,0,1,17
36.8,00:46:37,42.3,94.0,15860,5.8,636,170.9,1137,7,14,7,5,1,88,0,0.0,1,0,17,0,0,1,17
38.9,00:46:39,37.6,93.9,15841,11.9,636,133.8,1138,7,14,7,7,1,96,0,0.0,1,0,17,0,0,1,17
41.2,00:46:41,37.8,93.7,15805,7.4,636,126.9,1140,7,14,7,7,1,104,0,0.0,1,0,17,0,0,1,17
43.3,00:46:43,36.6,93.6,15779,5.2,636,121.5,1140,7,14,7,7,1,112,0,0.0,1,0,17,0,0,1,17
45.3,00:46:45,37.5,93.4,15751,11.0,636,127.5,1140,7,14,7,7,1,120,0,0.0,1,0,17,0,0,1,17
47.5,00:46:48,35.4,93.4,15753,17.6,636,136.5,1140,7,14,7,7,1,128,0,0.0,1,0,17,0,0,1,17
49.6,00:46:50,39.4,93.2,15725,9.8,637,118.5,1140,7,14,7,7,1,136,0,0.0,1,0,17,0,0,1,17
51.8,00:46:52,35.8,93.2,15725,27.3,637,123.6,1140,7,14,7,7,1,144,0,0.0,1,0,18,0,0,1,18
54.0,00:46:54,43.9,95.4,16083,7.4,637,132.2,1138,7,14,7,7,1,153,0,0.0,1,0,17,0,0,1,17
56.1,00:46:56,40.7,94.5,15943,7.6,637,130.1,1138,7,14,7,7,1,161,0,0.0,1,0,17,0,0,1,17
58.2,00:46:58,37.8,95.0,16027,7.5,637,118.9,1138,7,14,7,7,1,169,0,0.0,1,0,17,0,0,1,17
60.5,00:47:01,38.1,95.0,16023,9.3,637,125.6,1138,7,14,7,7,1,178,0,0.0,1,0,17,0,0,1,17
62.8,00:47:03,34.2,95.0,16018,6.9,637,126.0,1138,7,14,7,7,1,187,0,0.0,1,0,17,0,0,1,17
65.0,00:47:05,35.6,94.7,15981,12.3,637,126.7,1138,7,14,7,7,1,195,0,0.0,1,0,17,0,0,1,17
