t,clock,sys_cpu,sys_ram_pct,sys_ram_used_mb,backend_cpu,backend_ram_mb,go2rtc_cpu,go2rtc_ram_mb,go2rtc_procs,ffmpeg_procs,go2rtc_streams_live,go2rtc_consumers,ai_active,ai_frames_recv,ai_frames_proc,ai_infer_ms_avg,ai_src_alive,ws_clients,exec_active,exec_submitted,exec_completed,recordings_active,threads
0.0,13:36:41,0.0,79.8,13459,0.0,258,0.0,0,0,0,0,0,0,0,0,0.0,0,0,8,0,0,0,8
2.1,13:36:43,63.1,79.9,13475,8.3,281,0.0,0,0,0,0,0,0,0,0,0.0,0,0,11,0,0,0,11
4.1,13:36:45,68.1,80.1,13514,64.9,329,0.0,0,0,0,0,0,0,0,0,0.0,0,0,11,0,0,0,11
6.1,13:36:47,68.8,80.3,13547,74.1,364,0.0,0,0,0,0,0,0,0,0,0.0,0,0,11,0,0,0,11
8.2,13:36:49,62.8,80.2,13527,17.7,374,0.0,0,0,0,0,0,0,0,0,0.0,0,0,11,0,0,0,11
10.2,13:36:51,82.7,80.7,13612,353.5,452,0.0,0,0,0,0,0,0,0,0,0.0,0,0,9,0,0,0,9
12.2,13:36:53,65.1,80.6,13601,16.2,455,0.0,0,0,0,0,0,0,0,0,0.0,0,0,13,0,0,0,13
14.2,13:36:55,66.7,80.7,13609,29.9,455,0.0,15,1,0,0,0,0,0,0,0.0,0,0,12,0,0,0,12
16.3,13:36:57,47.0,80.9,13640,33.4,456,3.6,104,5,4,7,0,0,0,0,0.0,0,0,13,0,0,0,13
18.4,13:37:00,35.2,81.2,13697,14.4,456,8.6,171,5,4,7,2,0,0,0,0.0,0,0,12,0,0,0,12
20.6,13:37:02,33.4,82.8,13962,1.5,456,59.7,403,5,4,7,2,0,0,0,0.0,0,0,12,0,0,0,12
22.7,13:37:04,34.6,80.8,13626,1.4,456,8.6,107,5,4,7,2,0,0,0,0.0,0,0,12,0,0,0,12
24.9,13:37:06,36.2,81.1,13683,2.2,456,5.0,174,5,4,7,2,0,0,0,0.0,0,0,12,0,0,0,12
27.1,13:37:08,36.3,82.0,13826,3.5,456,6.3,64,3,2,7,2,0,0,0,0.0,0,0,12,0,0,0,12
29.3,13:37:10,47.8,80.9,13640,0.8,456,3.1,141,5,4,7,2,0,0,0,0.0,0,0,12,0,0,0,12
31.4,13:37:13,70.8,82.7,13954,2.3,456,29.8,390,5,4,7,2,0,0,0,0.0,0,0,12,0,0,0,12
33.4,13:37:15,68.6,85.7,14458,1.5,456,116.5,390,5,4,7,4,0,0,0,0.0,0,0,12,0,0,0,12
35.5,13:37:17,39.0,85.7,14456,2.1,456,123.2,391,5,4,7,4,0,0,0,0.0,0,0,12,0,0,0,12
37.8,13:37:19,33.4,85.6,14439,4.9,456,125.6,392,5,4,7,4,0,0,0,0.0,0,0,13,0,0,0,13
40.0,13:37:21,34.0,85.3,14391,1.3,456,126.2,392,5,4,7,4,0,0,0,0.0,0,0,12,0,0,0,12
42.3,13:37:23,38.3,85.6,14437,3.5,456,145.0,392,5,4,7,4,0,0,0,0.0,0,0,12,0,0,0,12
44.6,13:37:26,38.1,85.7,14447,2.0,456,142.1,392,5,4,7,4,0,0,0,0.0,0,0,12,0,0,0,12
47.0,13:37:28,34.5,87.2,14702,5.4,456,162.4,392,5,4,7,5,0,0,0,0.0,0,0,12,0,0,0,12
49.3,13:37:30,36.3,87.4,14740,15.0,458,125.3,392,5,4,7,5,0,0,0,0.0,0,0,13,0,0,0,13
51.6,13:37:33,36.1,87.0,14674,21.6,462,140.7,392,5,4,7,5,0,0,0,0.0,0,0,13,0,0,0,13
53.9,13:37:35,37.3,87.8,14807,34.0,469,138.2,392,5,4,7,5,0,0,0,0.0,0,0,12,0,0,0,12
56.1,13:37:37,38.3,87.4,14748,2.1,469,134.2,392,5,4,7,5,0,0,0,0.0,0,0,12,0,0,0,12
