t,clock,sys_cpu,sys_ram_pct,sys_ram_used_mb,backend_cpu,backend_ram_mb,go2rtc_cpu,go2rtc_ram_mb,go2rtc_procs,ffmpeg_procs,go2rtc_streams_live,go2rtc_consumers,ai_active,ai_frames_recv,ai_frames_proc,ai_infer_ms_avg,ai_src_alive,ws_clients,exec_active,exec_submitted,exec_completed,recordings_active,threads
0.0,21:46:29,0.0,75.2,12682,0.0,259,0.0,0,0,2,0,0,0,0,0,0.0,0,0,10,0,0,0,9
2.1,21:46:31,43.3,75.5,12735,32.1,342,0.0,0,0,4,0,0,0,0,0,0.0,0,0,13,0,0,0,13
4.1,21:46:33,37.4,75.8,12783,68.8,386,0.0,0,0,4,0,0,0,0,0,0.0,0,0,13,0,0,0,13
6.1,21:46:35,36.4,76.0,12816,57.9,413,0.0,0,0,4,0,0,0,0,0,0.0,0,0,13,0,0,0,13
8.1,21:46:37,52.3,76.5,12911,305.4,515,0.0,0,0,4,0,0,0,0,0,0.0,0,0,12,0,0,0,12
10.1,21:46:39,40.6,76.6,12923,38.7,549,0.0,0,0,4,0,0,0,0,0,0.0,0,0,15,0,0,1,15
12.1,21:46:41,47.7,77.0,12992,219.2,602,0.0,0,0,6,0,0,1,0,0,0.0,0,0,16,0,0,1,16
14.2,21:46:43,36.8,76.9,12965,6.1,617,0.0,0,0,6,0,0,1,0,0,0.0,0,0,16,0,0,1,16
16.2,21:46:45,35.2,76.7,12943,1.5,617,0.0,0,0,6,0,0,1,0,0,0.0,0,0,16,0,0,1,16
18.2,21:46:47,38.2,76.9,12967,1.5,599,0.0,0,0,6,0,0,1,0,0,0.0,0,0,16,0,0,1,16
20.3,21:46:49,36.7,76.8,12956,2.3,617,0.0,0,0,6,0,0,1,0,0,0.0,0,0,16,0,0,1,16
22.3,21:46:51,37.6,77.0,12982,0.8,617,0.0,0,0,6,0,0,1,0,0,0.0,0,0,16,0,0,1,16
24.3,21:46:53,35.4,76.8,12961,0.0,586,0.0,0,0,6,0,0,1,0,0,0.0,0,0,16,0,0,1,16
26.3,21:46:55,34.1,76.8,12953,2.3,586,0.0,0,0,6,0,0,1,0,0,0.0,0,0,16,0,0,1,16
28.4,21:46:57,34.9,76.6,12919,1.5,578,0.0,0,0,6,0,0,1,0,0,0.0,0,0,16,0,0,1,16
30.4,21:46:59,36.7,76.6,12928,6.1,586,0.0,0,0,6,0,0,1,0,0,0.0,0,0,16,0,0,1,16
32.4,21:47:01,38.0,76.7,12941,0.8,586,0.0,0,0,6,0,0,1,0,0,0.0,0,0,16,0,0,1,16
34.4,21:47:03,36.2,76.8,12949,0.8,586,0.0,0,0,6,0,0,1,0,0,0.0,0,0,16,0,0,1,16
36.4,21:47:05,33.6,76.7,12933,0.6,586,0.0,0,0,6,0,0,1,0,0,0.0,0,0,16,0,0,1,16
41.2,21:47:10,34.3,76.5,12910,1.5,586,0.0,0,0,6,0,0,1,0,0,0.0,0,0,16,0,0,1,16
43.3,21:47:12,33.9,75.7,12771,2.3,586,0.0,0,0,6,0,0,1,0,0,0.0,0,0,16,0,0,1,16
45.3,21:47:14,37.9,75.6,12755,0.8,586,0.0,0,0,6,0,0,1,0,0,0.0,0,0,16,0,0,1,16
47.3,21:47:16,32.7,75.7,12769,1.5,586,0.0,0,0,6,0,0,1,0,0,0.0,0,0,16,0,0,1,16
