t,clock,sys_cpu,sys_ram_pct,sys_ram_used_mb,backend_cpu,backend_ram_mb,go2rtc_cpu,go2rtc_ram_mb,go2rtc_procs,ffmpeg_procs,go2rtc_streams_live,go2rtc_consumers,ai_active,ai_frames_recv,ai_frames_proc,ai_infer_ms_avg,ai_src_alive,ws_clients,exec_active,exec_submitted,exec_completed,recordings_active,threads
0.0,15:41:11,0.0,77.6,13087,0.0,253,0.0,0,0,0,0,0,0,0,0,0.0,0,0,8,0,0,0,7
2.0,15:41:13,38.4,77.9,13132,32.0,302,0.0,0,0,2,0,0,0,0,0,0.0,0,0,20,0,0,0,20
4.1,15:41:15,39.2,78.1,13178,91.4,365,0.0,0,0,2,0,0,0,0,0,0.0,0,0,20,0,0,0,20
6.1,15:41:17,37.4,78.1,13165,38.3,398,0.0,16,1,2,7,0,0,0,0,0.0,0,0,20,0,0,0,20
8.1,15:41:19,53.4,78.4,13226,280.1,490,0.0,16,1,2,7,0,0,0,0,0.0,0,0,19,0,0,0,19
10.2,15:41:21,31.5,78.4,13230,6.9,524,2.3,17,1,2,7,0,0,0,0,0.0,0,0,20,0,0,1,20
12.2,15:41:23,49.9,78.7,13268,235.8,541,3.8,53,3,6,7,2,1,0,0,0.0,0,0,20,0,0,1,20
14.2,15:41:25,36.6,80.5,13576,9.3,609,47.8,293,3,8,7,3,1,0,0,0.0,0,0,20,0,0,1,20
16.3,15:41:27,35.9,82.2,13863,42.2,772,45.2,387,3,8,7,3,1,9,0,0.0,1,0,20,0,0,1,20
18.3,15:41:29,30.9,82.4,13896,65.6,830,20.9,387,3,8,7,4,1,20,0,0.0,1,0,22,10,10,1,22
20.3,15:41:31,39.2,82.4,13897,196.1,830,11.6,387,3,8,7,4,1,32,0,0.0,1,0,22,45,45,1,22
22.4,15:41:33,42.1,82.7,13952,152.5,831,32.7,461,7,12,7,4,1,44,0,0.0,1,0,22,74,74,1,22
24.5,15:41:35,36.1,82.8,13972,119.3,830,81.3,634,7,12,7,6,1,57,0,0.0,1,0,22,82,82,1,22
26.5,15:41:37,36.7,86.4,14567,80.4,833,133.9,1029,7,12,7,6,1,68,0,0.0,1,0,22,88,88,1,22
28.7,15:41:39,37.5,82.7,13954,74.8,833,45.7,463,7,12,7,6,1,80,0,0.0,1,0,22,94,94,1,22
30.7,15:41:42,37.8,85.7,14457,99.5,832,124.2,956,7,12,7,6,1,91,0,0.0,1,0,22,102,102,1,22
32.8,15:41:44,38.1,87.4,14741,58.7,831,163.3,1130,7,12,7,7,1,102,0,0.0,1,0,22,106,106,1,22
35.1,15:41:46,38.2,88.1,14859,74.7,833,148.2,1135,7,12,7,7,1,113,0,0.0,1,0,22,111,111,1,22
37.3,15:41:48,35.8,88.1,14855,82.9,831,127.4,1131,7,12,7,8,1,125,0,0.0,1,0,22,117,117,1,22
39.4,15:41:50,36.4,88.1,14854,72.8,833,129.6,1132,7,12,7,8,1,136,0,0.0,1,0,22,122,122,1,22
41.5,15:41:52,35.1,88.0,14850,84.0,832,119.5,1132,7,12,7,8,1,147,0,0.0,1,0,22,127,127,1,22
43.6,15:41:54,38.1,88.1,14854,82.6,833,125.5,1133,7,12,7,8,1,158,0,0.0,1,0,22,134,134,1,22
45.7,15:41:57,37.3,88.1,14857,72.7,833,119.5,1133,7,12,7,8,1,169,0,0.0,1,0,22,140,140,1,22
47.9,15:41:59,35.8,88.1,14860,70.8,832,124.9,1133,7,12,7,8,1,179,0,0.0,1,0,22,145,145,1,22
50.1,15:42:01,35.5,88.1,14857,83.5,831,109.1,1133,7,12,7,8,1,191,0,0.0,1,0,22,151,151,1,22
52.2,15:42:03,35.0,88.0,14844,77.1,833,125.3,1133,7,12,7,8,1,202,0,0.0,1,0,22,157,157,1,22
54.4,15:42:05,36.9,88.0,14837,67.3,832,127.3,1133,7,12,7,8,1,213,0,0.0,1,0,22,162,162,1,22
56.5,15:42:07,36.9,88.0,14843,77.6,833,131.9,1133,7,12,7,8,1,223,0,0.0,1,0,22,169,169,1,22
58.8,15:42:10,38.7,88.0,14844,72.5,833,114.4,1170,9,14,7,8,1,235,0,0.0,1,0,22,174,174,1,22
60.9,15:42:12,35.4,88.6,14943,65.1,833,166.3,1346,9,14,7,9,1,246,0,0.0,1,0,22,179,179,1,22
63.2,15:42:14,37.2,89.3,15058,37.4,831,137.7,1399,9,14,7,9,1,257,0,0.0,1,0,22,182,182,1,22
65.5,15:42:16,37.6,89.3,15057,66.0,837,139.8,1406,9,14,7,9,1,267,0,0.0,1,0,24,186,186,1,24
67.7,15:42:19,41.3,92.3,15564,59.4,843,166.7,1643,9,14,7,9,1,275,0,0.0,1,0,23,188,188,1,23
70.4,15:42:21,39.5,89.7,15128,47.9,844,147.4,1644,9,14,7,10,1,284,0,0.0,1,0,22,190,190,1,22
72.6,15:42:23,39.4,89.6,15106,60.9,844,152.8,1644,9,14,7,10,1,295,0,0.0,1,0,22,195,195,1,22
74.7,15:42:26,40.0,87.9,14820,62.8,845,51.4,390,3,8,7,10,1,305,0,0.0,1,0,22,200,200,1,22
76.9,15:42:28,38.2,78.8,13283,65.4,847,50.0,464,7,12,7,7,1,318,0,0.0,1,0,22,205,205,1,22
79.0,15:42:30,37.6,81.7,13778,72.9,847,125.0,922,7,12,7,6,1,329,0,0.0,1,0,22,210,210,1,22
81.3,15:42:32,35.5,81.8,13802,69.3,844,83.1,1010,11,16,7,8,1,340,0,0.0,1,0,22,215,215,1,22
83.5,15:42:34,39.4,82.4,13892,76.0,1146,120.7,860,9,15,7,8,1,352,0,0.0,1,0,22,218,218,1,22
85.8,15:42:37,38.0,83.9,14146,35.9,845,80.9,891,7,12,7,8,1,364,0,0.0,1,0,22,221,221,1,22
88.0,15:42:39,35.8,81.5,13754,76.1,845,79.6,909,7,12,7,6,1,376,0,0.0,1,0,22,226,226,1,22
90.2,15:42:41,37.5,83.5,14089,85.6,844,43.9,391,3,8,7,6,1,387,0,0.0,1,0,22,232,232,1,22
92.4,15:42:43,40.0,79.2,13354,94.2,846,39.2,391,3,8,7,6,1,399,0,0.0,1,0,22,239,239,1,22
94.4,15:42:45,39.2,79.2,13360,102.0,846,44.1,391,3,8,7,4,1,410,0,0.0,1,0,22,250,250,1,22
96.4,15:42:47,42.5,79.2,13355,163.4,846,13.1,391,3,8,7,4,1,422,0,0.0,1,0,22,287,287,1,22
98.5,15:42:49,41.0,78.5,13247,148.9,847,11.5,391,3,8,7,4,1,434,0,0.0,1,0,22,321,321,1,22
100.5,15:42:51,40.0,78.4,13225,97.8,847,24.9,391,3,8,7,4,1,445,0,0.0,1,0,22,338,338,1,22
102.6,15:42:53,36.6,78.5,13233,95.8,846,37.1,428,5,10,7,6,1,457,0,0.0,1,0,22,345,345,1,22
104.7,15:42:55,36.5,78.8,13293,83.2,847,72.9,454,5,10,7,6,1,468,0,0.0,1,0,22,351,351,1,22
106.8,15:42:58,36.4,80.2,13525,80.3,844,74.4,657,5,10,7,6,1,480,0,0.0,1,0,23,357,357,1,23
108.9,15:43:00,36.0,80.4,13560,92.6,847,43.6,391,3,8,7,6,1,492,0,0.0,1,0,22,363,363,1,22
111.1,15:43:02,37.5,78.6,13258,80.2,845,37.7,391,3,8,7,6,1,505,0,0.0,1,0,22,370,370,1,22
113.3,15:43:04,37.1,78.6,13257,79.6,846,39.5,391,3,8,7,5,1,516,0,0.0,1,0,22,376,376,1,22
115.4,15:43:06,36.9,78.7,13274,90.3,847,41.4,392,3,8,7,5,1,527,0,0.0,1,0,22,383,383,1,22
117.5,15:43:08,38.3,78.7,13272,89.1,845,45.6,392,3,8,7,5,1,538,0,0.0,1,0,22,391,391,1,22
119.6,15:43:10,36.1,78.7,13271,78.2,847,39.8,392,3,8,7,5,1,549,0,0.0,1,0,22,397,397,1,22
121.7,15:43:13,36.5,78.9,13305,85.0,851,49.0,392,3,8,7,5,1,560,0,0.0,1,0,22,404,403,1,22
123.9,15:43:15,38.2,78.7,13277,107.3,846,35.0,392,3,8,7,5,1,573,0,0.0,1,0,22,411,411,1,22
126.0,15:43:17,40.4,78.7,13272,54.4,848,40.1,392,3,8,7,5,1,584,0,0.0,1,0,22,415,415,1,22
128.4,15:43:19,37.8,79.8,13458,59.2,1230,37.8,392,3,8,7,5,1,595,0,0.0,1,0,22,419,419,1,22
130.5,15:43:21,38.8,78.9,13313,62.3,849,55.0,392,3,8,7,5,1,605,0,0.0,1,0,22,424,424,1,22
132.6,15:43:23,43.6,79.2,13356,74.9,850,34.8,392,3,8,7,5,1,616,0,0.0,1,0,22,430,430,1,22
134.7,15:43:25,37.3,78.9,13302,132.4,850,41.1,392,3,8,7,5,1,627,0,0.0,1,0,22,441,441,1,22
136.7,15:43:28,38.0,78.2,13197,129.3,850,43.1,392,3,8,7,5,1,638,0,0.0,1,0,22,452,452,1,22
138.8,15:43:30,36.4,77.8,13125,98.3,850,39.9,428,5,10,7,4,1,649,0,0.0,1,0,22,459,459,1,22
141.0,15:43:32,35.1,77.8,13125,63.8,851,61.7,479,7,12,7,4,1,660,0,0.0,1,0,22,463,463,1,22
143.2,15:43:34,37.7,80.1,13513,69.6,851,127.1,897,7,12,7,6,1,673,0,0.0,1,0,22,468,468,1,22
145.4,15:43:36,35.1,80.4,13566,82.1,848,99.4,914,7,12,7,6,1,684,0,0.0,1,0,22,475,475,1,22
147.7,15:43:38,41.1,80.8,13625,18.8,852,63.4,963,7,12,7,6,1,692,0,0.0,1,0,22,476,476,1,22
150.3,15:43:41,37.5,82.2,13861,33.4,851,50.8,703,5,10,7,6,1,702,0,0.0,1,0,22,479,479,1,22
152.7,15:43:44,39.3,79.0,13317,36.2,852,45.6,466,7,12,7,6,1,713,0,0.0,1,0,22,482,482,1,22
155.6,15:43:46,36.4,79.1,13340,84.7,849,97.8,726,7,12,7,6,1,724,0,0.0,1,0,22,489,489,1,22
157.7,15:43:49,39.8,80.8,13622,62.9,849,96.4,932,7,12,7,6,1,736,0,0.0,1,0,22,493,493,1,22
159.8,15:43:51,36.3,81.6,13760,57.2,852,42.0,393,3,8,7,6,1,748,0,0.0,1,0,22,498,498,1,22
162.5,15:43:53,37.3,77.6,13094,77.5,849,53.7,393,3,8,7,6,1,760,0,0.0,1,0,22,503,503,1,22
164.6,15:43:55,37.5,77.6,13092,48.4,1195,1.7,25,1,7,7,4,1,766,0,0.0,1,0,22,505,505,1,22
